Dates_SX5E,Open_SX5E,Close_SX5E,Dates_XP1,Open_XP1,Close_XP1
12/1/2023 3:00:00 AM,4393.04,4406.11,12/1/2023 3:00:00 AM,7088,7094
12/1/2023 3:05:00 AM,4405.61,4408.2,12/1/2023 3:05:00 AM,7093,7099
12/1/2023 3:10:00 AM,4409.32,4406.1,12/1/2023 3:10:00 AM,7099,7100
12/1/2023 3:15:00 AM,4406.95,4407.73,12/1/2023 3:15:00 AM,7100,7100
12/1/2023 3:20:00 AM,4406.79,4403.84,12/1/2023 3:20:00 AM,7100,7097
12/1/2023 3:25:00 AM,4403.89,4403.89,12/1/2023 3:25:00 AM,7098,7096
12/1/2023 3:30:00 AM,4403.44,4405.77,12/1/2023 3:30:00 AM,7095,7096
12/1/2023 3:35:00 AM,4405.57,4405.88,12/1/2023 3:35:00 AM,7096,7099
12/1/2023 3:40:00 AM,4405.95,4404.95,12/1/2023 3:40:00 AM,7100,7098
12/1/2023 3:45:00 AM,4404.86,4407.58,12/1/2023 3:45:00 AM,7099,7103
12/1/2023 3:50:00 AM,4407.84,4410.61,12/1/2023 3:50:00 AM,7104,7107
12/1/2023 3:55:00 AM,4410.64,4412.43,12/1/2023 3:55:00 AM,7107,7108
12/1/2023 4:00:00 AM,4412.27,4414.95,12/1/2023 4:00:00 AM,7109,7115
12/1/2023 4:05:00 AM,4414.78,4415.36,12/1/2023 4:05:00 AM,7115,7117
12/1/2023 4:10:00 AM,4415.52,4415.74,12/1/2023 4:10:00 AM,7117,7114
12/1/2023 4:15:00 AM,4416.98,4419.92,12/1/2023 4:15:00 AM,7115,7117
12/1/2023 4:20:00 AM,4419.3,4419.56,12/1/2023 4:20:00 AM,7117,7117
12/1/2023 4:25:00 AM,4419.32,4417.09,12/1/2023 4:25:00 AM,7116,7115
12/1/2023 4:30:00 AM,4417.09,4418.02,12/1/2023 4:30:00 AM,7115,7117
12/1/2023 4:35:00 AM,4418.5,4416.42,12/1/2023 4:35:00 AM,7117,7113
12/1/2023 4:40:00 AM,4417.14,4416.48,12/1/2023 4:40:00 AM,7114,7114
12/1/2023 4:45:00 AM,4416.55,4417.14,12/1/2023 4:45:00 AM,7114,7115
12/1/2023 4:50:00 AM,4417.06,4412.43,12/1/2023 4:50:00 AM,7116,7113
12/1/2023 4:55:00 AM,4412.55,4410.9,12/1/2023 4:55:00 AM,7113,7112
12/1/2023 5:00:00 AM,4411.03,4408.98,12/1/2023 5:00:00 AM,7112,7110
12/1/2023 5:05:00 AM,4408.87,4410.61,12/1/2023 5:05:00 AM,7110,7112
12/1/2023 5:10:00 AM,4410.96,4411.11,12/1/2023 5:10:00 AM,7113,7113
12/1/2023 5:15:00 AM,4411.03,4412.79,12/1/2023 5:15:00 AM,7113,7116
12/1/2023 5:20:00 AM,4413.14,4412.38,12/1/2023 5:20:00 AM,7115,7113
12/1/2023 5:25:00 AM,4413.45,4414.05,12/1/2023 5:25:00 AM,7114,7115
12/1/2023 5:30:00 AM,4413.38,4413.23,12/1/2023 5:30:00 AM,7115,7114
12/1/2023 5:35:00 AM,4413.07,4413.79,12/1/2023 5:35:00 AM,7113,7112
12/1/2023 5:40:00 AM,4413.55,4412.2,12/1/2023 5:40:00 AM,7112,7112
12/1/2023 5:45:00 AM,4412.12,4415.96,12/1/2023 5:45:00 AM,7112,7114
12/1/2023 5:50:00 AM,4415.88,4415.99,12/1/2023 5:50:00 AM,7113,7113
12/1/2023 5:55:00 AM,4415.69,4414.78,12/1/2023 5:55:00 AM,7113,7112
12/1/2023 6:00:00 AM,4413.8,4413.05,12/1/2023 6:00:00 AM,7112,7111
12/1/2023 6:05:00 AM,4412.59,4410.89,12/1/2023 6:05:00 AM,7111,7110
12/1/2023 6:10:00 AM,4411.24,4410.73,12/1/2023 6:10:00 AM,7110,7110
12/1/2023 6:15:00 AM,4410.95,4411.73,12/1/2023 6:15:00 AM,7111,7111
12/1/2023 6:20:00 AM,4411.36,4413.82,12/1/2023 6:20:00 AM,7111,7113
12/1/2023 6:25:00 AM,4413.54,4412.58,12/1/2023 6:25:00 AM,7113,7110
12/1/2023 6:30:00 AM,4413.14,4413.19,12/1/2023 6:30:00 AM,7110,7111
12/1/2023 6:35:00 AM,4413.47,4410.82,12/1/2023 6:35:00 AM,7111,7108
12/1/2023 6:40:00 AM,4411.09,4410.68,12/1/2023 6:40:00 AM,7108,7107
12/1/2023 6:45:00 AM,4410.62,4411.99,12/1/2023 6:45:00 AM,7107,7108
12/1/2023 6:50:00 AM,4412.09,4414.66,12/1/2023 6:50:00 AM,7108,7109
12/1/2023 6:55:00 AM,4414.83,4413.04,12/1/2023 6:55:00 AM,7110,7108
12/1/2023 7:00:00 AM,4412.09,4411.8,12/1/2023 7:00:00 AM,7108,7107
12/1/2023 7:05:00 AM,4411.68,4411.81,12/1/2023 7:05:00 AM,7108,7108
12/1/2023 7:10:00 AM,4411.5,4409.69,12/1/2023 7:10:00 AM,7107,7106
12/1/2023 7:15:00 AM,4409.62,4408.93,12/1/2023 7:15:00 AM,7106,7104
12/1/2023 7:20:00 AM,4408.83,4407.89,12/1/2023 7:20:00 AM,7103,7102
12/1/2023 7:25:00 AM,4407.99,4409.3,12/1/2023 7:25:00 AM,7102,7102
12/1/2023 7:30:00 AM,4409.02,4409.76,12/1/2023 7:30:00 AM,7102,7103
12/1/2023 7:35:00 AM,4409.78,4411.3,12/1/2023 7:35:00 AM,7102,7102
12/1/2023 7:40:00 AM,4411.41,4411.01,12/1/2023 7:40:00 AM,7102,7102
12/1/2023 7:45:00 AM,4410.55,4406.48,12/1/2023 7:45:00 AM,7101,7097
12/1/2023 7:50:00 AM,4406.44,4406.73,12/1/2023 7:50:00 AM,7097,7097
12/1/2023 7:55:00 AM,4407.11,4406.33,12/1/2023 7:55:00 AM,7097,7097
12/1/2023 8:00:00 AM,4406.4,4407.56,12/1/2023 8:00:00 AM,7097,7098
12/1/2023 8:05:00 AM,4407.1,4407.1,12/1/2023 8:05:00 AM,7097,7098
12/1/2023 8:10:00 AM,4406.88,4405.83,12/1/2023 8:10:00 AM,7098,7098
12/1/2023 8:15:00 AM,4405.73,4407.12,12/1/2023 8:15:00 AM,7098,7100
12/1/2023 8:20:00 AM,4406.87,4406.26,12/1/2023 8:20:00 AM,7099,7100
12/1/2023 8:25:00 AM,4406.53,4405.56,12/1/2023 8:25:00 AM,7101,7102
12/1/2023 8:30:00 AM,4405.97,4404.94,12/1/2023 8:30:00 AM,7102,7101
12/1/2023 8:35:00 AM,4405.14,4404.41,12/1/2023 8:35:00 AM,7101,7100
12/1/2023 8:40:00 AM,4404.56,4405.17,12/1/2023 8:40:00 AM,7100,7100
12/1/2023 8:45:00 AM,4404.99,4401.82,12/1/2023 8:45:00 AM,7100,7095
12/1/2023 8:50:00 AM,4402.29,4401.55,12/1/2023 8:50:00 AM,7096,7093
12/1/2023 8:55:00 AM,4401.46,4399.8,12/1/2023 8:55:00 AM,7093,7091
12/1/2023 9:00:00 AM,4400.12,4399.25,12/1/2023 9:00:00 AM,7092,7090
12/1/2023 9:05:00 AM,4399.39,4398.86,12/1/2023 9:05:00 AM,7091,7089
12/1/2023 9:10:00 AM,4398.81,4396.48,12/1/2023 9:10:00 AM,7090,7086
12/1/2023 9:15:00 AM,4396.49,4396.74,12/1/2023 9:15:00 AM,7087,7088
12/1/2023 9:20:00 AM,4396.55,4397.08,12/1/2023 9:20:00 AM,7088,7089
12/1/2023 9:25:00 AM,4397.29,4397.88,12/1/2023 9:25:00 AM,7090,7092
12/1/2023 9:30:00 AM,4397.96,4397.76,12/1/2023 9:30:00 AM,7092,7094
12/1/2023 9:35:00 AM,4397.52,4400.47,12/1/2023 9:35:00 AM,7094,7100
12/1/2023 9:40:00 AM,4400.72,4404.26,12/1/2023 9:40:00 AM,7100,7105
12/1/2023 9:45:00 AM,4404.57,4405.11,12/1/2023 9:45:00 AM,7105,7107
12/1/2023 9:50:00 AM,4405.84,4406.93,12/1/2023 9:50:00 AM,7107,7110
12/1/2023 9:55:00 AM,4407.09,4405.37,12/1/2023 9:55:00 AM,7110,7115
12/1/2023 10:00:00 AM,4407.73,4412.51,12/1/2023 10:00:00 AM,7115,7119
12/1/2023 10:05:00 AM,4411.15,4411.93,12/1/2023 10:05:00 AM,7120,7121
12/1/2023 10:10:00 AM,4411.6,4411.02,12/1/2023 10:10:00 AM,7121,7120
12/1/2023 10:15:00 AM,4411.29,4410.95,12/1/2023 10:15:00 AM,7120,7120
12/1/2023 10:20:00 AM,4411.29,4411.6,12/1/2023 10:20:00 AM,7121,7122
12/1/2023 10:25:00 AM,4411.4,4410.24,12/1/2023 10:25:00 AM,7122,7119
12/1/2023 10:30:00 AM,4409.53,4413.32,12/1/2023 10:30:00 AM,7119,7123
12/1/2023 10:35:00 AM,4412.91,4410.86,12/1/2023 10:35:00 AM,7123,7122
12/1/2023 10:40:00 AM,4411.43,4411.36,12/1/2023 10:40:00 AM,7122,7121
12/1/2023 10:45:00 AM,4411.28,4414.92,12/1/2023 10:45:00 AM,7122,7127
12/1/2023 10:50:00 AM,4414.72,4414.09,12/1/2023 10:50:00 AM,7126,7127
12/1/2023 10:55:00 AM,4413.96,4413.52,12/1/2023 10:55:00 AM,7127,7126
12/1/2023 11:00:00 AM,4410.04,4411.63,12/1/2023 11:00:00 AM,7126,7122
12/1/2023 11:05:00 AM,4412.52,4414.5,12/1/2023 11:05:00 AM,7122,7128
12/1/2023 11:10:00 AM,4414.61,4418.79,12/1/2023 11:10:00 AM,7128,7133
12/1/2023 11:15:00 AM,4418.78,4416.27,12/1/2023 11:15:00 AM,7133,7132
12/1/2023 11:20:00 AM,4415.99,4416.37,12/1/2023 11:20:00 AM,7131,7130
12/1/2023 11:25:00 AM,4417.05,4417.18,12/1/2023 11:25:00 AM,7130,7137
12/1/2023 11:30:00 AM,4417.16,4417.15,12/1/2023 11:30:00 AM,7138,7138
12/1/2023 11:35:00 AM,4417.46,4418.51,12/1/2023 11:35:00 AM,7138,7134
12/1/2023 11:40:00 AM,4418.51,4418.51,12/1/2023 11:40:00 AM,7134,7142
12/1/2023 11:45:00 AM,4418.51,4418.51,12/1/2023 11:45:00 AM,7142,7142